country,air_quality,percent_change,death_percent_diff,year_1990,year_2017
United Arab Emirates,5,256.3,379.56810631229234,602,2887
Afghanistan,1,348.6,0.8165238645215008,37231,37535
Antigua and Barbuda,2,179.8,11.538461538461538,26,29
Albania,1,-23.7,-23.77740303541315,2965,2260
Armenia,1,-76.7,5.530973451327434,3164,3339
Angola,1,427.7,-28.85984589876134,20506,14588
Argentina,1,86.7,-10.892489711934155,15552,13858
Austria,1,14.8,-53.2902033271719,5410,2527
Australia,1,46.1,-33.5812133072407,2555,1697
Azerbaijan,4,-44.0,9.136546184738956,7968,8696
Bosnia and Herzegovina,1,4.3,-6.3332689708437915,5179,4851
Barbados,1,308.8,3.9473684210526314,152,158
Bangladesh,5,509.6,-11.745831028214653,189795,167502
Belgium,2,-10.1,-49.25124792013311,7212,3660
Burkina Faso,5,794.5,37.65952080706179,19825,27291
Bulgaria,1,-39.8,-34.06955168492249,16707,11015
Bahrain,4,198.4,74.76635514018692,321,561
Burundi,2,37.6,-7.703180212014134,11320,10448
Benin,5,1610.1,26.150901581545284,9927,12523
Bermuda,2,28.1,-54.54545454545454,22,10
Brunei,1,97.6,-8.108108108108109,37,34
Bolivia,1,225.5,-23.078833022967103,8055,6196
Brazil,1,115.6,-31.975811570286083,86653,58945
Bahamas,2,96.7,39.705882352941174,68,95
Bhutan,3,599.0,-21.84873949579832,833,651
Botswana,1,180.8,23.22681215900234,1283,1581
Belarus,1,-42.8,-25.948069695934407,11708,8670
Belize,2,134.0,37.34939759036144,83,114
Canada,1,35.4,-34.220168870479526,6277,4129
Central African Republic,4,205.7,26.538705583756343,6304,7977
Cook Islands,1,9.3,-20.0,5,4
Chile,1,176.6,-0.3800310934531007,5789,5767
Cameroon,5,37.6,68.4746529873265,13256,22333
China,3,353.8,-2.918396617305819,1895767,1840441
Colombia,5,44.4,-1.713118534624761,15177,14917
Costa Rica,1,179.4,20.908004778972522,837,1012
Cuba,1,-15.7,17.341678939617083,5432,6374
Cape Verde,4,1849.0,2.21606648199446,361,369
Cyprus,4,55.0,0.24449877750611246,409,410
Germany,1,-21.8,-55.95696927482393,64605,28454
Djibouti,2,-7.9,43.792325056433405,443,637
Denmark,1,-37.5,-60.5730963120191,3769,1486
Dominica,2,269.7,-40.98360655737705,61,36
Dominican Republic,1,188.0,36.94357811170967,3527,4830
Algeria,5,143.5,45.93264430851438,14223,20756
Ecuador,1,145.1,21.60560344827586,3712,4514
Estonia,2,-53.5,-83.41880341880342,1170,194
Egypt,5,184.9,30.874498838637138,67593,88462
Eritrea,5,244.4,5.12718600953895,5032,5290
Ethiopia,4,523.4,-37.29707694890056,125109,78447
Finland,1,-18.2,-75.73794096472282,1389,337
Fiji,1,40.1,10.806174957118353,583,646
Gabon,1,35.1,-25.945017182130588,1164,862
United Kingdom,1,-35.6,-65.3048128342246,42075,14598
Grenada,1,273.3,-39.53488372093023,86,52
Georgia,1,-66.7,-44.111373077354884,8907,4978
Ghana,5,483.0,34.93398696451451,17951,24222
Greenland,1,17166.7,-30.0,10,7
Guinea,3,154.3,-3.976210705182668,17655,16953
Equatorial Guinea,1,2445.4,-51.04384133611691,958,469
Greece,1,-8.9,-19.66856832382505,7362,5914
Guatemala,4,358.4,-9.991868265907705,9838,8855
Guinea-Bissau,4,108.7,-8.5219707057257,2253,2061
Guyana,1,425.5,-19.597989949748744,597,480
Honduras,1,349.3,78.48669445335044,3119,5567
Croatia,1,-30.6,-40.683730087703594,5587,3314
Haiti,3,207.0,9.405005509208248,12706,13901
Hungary,2,-29.3,-45.50153846153846,16250,8856
Indonesia,1,215.6,8.56751037393453,169174,183668
Ireland,1,18.5,-67.26804123711341,1552,508
Israel,4,89.6,1.5604681404421328,2307,2343
India,5,305.1,20.366403163538273,1332685,1604105
Iraq,5,187.7,49.410362564295575,15942,23819
Iran,3,224.7,38.669861799560124,30463,42243
Iceland,2,74.6,-46.875,32,17
Jamaica,2,0.3,-17.532467532467532,1386,1143
Jordan,4,140.6,110.28315946348732,1342,2822
Japan,1,14.9,28.615794143744456,31556,40586
Kenya,1,187.5,20.40410158785099,23113,27829
Kyrgyzstan,2,-52.8,-26.858137510879025,5745,4202
Cambodia,2,2494.6,-24.950021729682746,23010,17269
Kiribati,1,50.0,14.285714285714285,133,152
Comoros,1,320.4,-21.6824644549763,844,661
Saint Kitts and Nevis,2,600.0,-56.52173913043478,23,10
North Korea,1,-71.2,41.29596833003438,38396,54252
South Korea,1,149.3,9.691160809371672,18780,20600
Kuwait,5,209.3,147.1731448763251,566,1399
Kazakhstan,1,6.3,-21.50780343092996,15506,12171
Laos,3,1235.5,-31.22965641952984,11060,7606
Lebanon,3,286.5,63.15021876519202,2057,3356
Saint Lucia,1,378.9,-9.195402298850574,87,79
Sri Lanka,4,472.7,10.665835022610324,12826,14194
Liberia,1,171.4,-27.883995703544578,4655,3357
Lesotho,4,654.0,6.38036809815951,2445,2601
Lithuania,2,-56.6,-56.346851302340916,3033,1324
Luxembourg,1,-18.8,-56.94444444444444,216,93
Latvia,1,-60.0,-62.48833592534992,3215,1206
Libya,5,55.0,60.42421107087429,1933,3101
Morocco,1,175.1,48.11506354017121,18807,27856
Moldova,1,-74.1,-60.10524584772241,6081,2426
Madagascar,1,493.7,9.56285433163098,21343,23384
Mali,5,148.3,36.10054921841994,18936,25772
Mongolia,1,95.8,-11.87772925764192,3435,3027
Mauritania,5,333.0,-15.583596214511042,3170,2676
Malta,1,-20.2,-22.75132275132275,189,146
Mauritius,1,235.3,12.092130518234164,521,584
Maldives,1,1383.1,-56.25,176,77
Malawi,1,244.0,-19.94009162457418,17026,13631
